subject_id	object_id	subject_id_prefix	object_id_prefix	subject_name	object_name	predicate	Primary_Knowledge_Source	Knowledge_Source	publications	subject_category	object_category	score
P60484	P14317	UNIPROT	UNIPROT	PTEN	HCLS1	up-regulates quantity by expression	SIGNOR	SIGNOR	11494141	protein	protein	0.2
P17948	P63096	UNIPROT	UNIPROT	FLT1	GNAI1	up-regulates activity	SIGNOR	SIGNOR	33139573	protein	protein	0.257
P0DP25	P16298	UNIPROT	UNIPROT	CALM3	PPP3CB	up-regulates	SIGNOR	SIGNOR	11796223	protein	protein	0.578
O15119	P38936	UNIPROT	UNIPROT	TBX3	CDKN1A	down-regulates quantity by repression	SIGNOR	SIGNOR	25211658	protein	protein	0.303
P06241	P35613-2	UNIPROT	UNIPROT	FYN	BSG	up-regulates activity	SIGNOR	SIGNOR	32291412	protein	protein	0.269
Q13315	Q15797	UNIPROT	UNIPROT	ATM	SMAD1	up-regulates	SIGNOR	SIGNOR	22588298	protein	protein	0.2
P04626	SIGNOR-PF36	UNIPROT	SIGNOR	ERBB2	ErbB receptor family	up-regulates activity	SIGNOR	SIGNOR	1706616	protein	proteinfamily	0.627
P51681	SIGNOR-PF1	UNIPROT	SIGNOR	CCR5	ERK1/2	up-regulates activity	SIGNOR	SIGNOR	20219869	protein	proteinfamily	0.322
P12821	P01019-PRO_0000032458	UNIPROT	UNIPROT	ACE	Angiotensin-2	up-regulates quantity	SIGNOR	SIGNOR	32201502	protein	protein	0.2
P17252	P60983	UNIPROT	UNIPROT	PRKCA	GMFB	unknown	SIGNOR	SIGNOR	9030586	protein	protein	0.323
Q8N3F0	SIGNOR-C14	UNIPROT	SIGNOR	MTURN	IKK-complex	down-regulates activity	SIGNOR	SIGNOR	28704656	protein	complex	0.2
O43516	O00401	UNIPROT	UNIPROT	WIPF1	WASL	up-regulates activity	SIGNOR	SIGNOR	10878810	protein	protein	0.933
P23443	P35568	UNIPROT	UNIPROT	RPS6KB1	IRS1	down-regulates activity	SIGNOR	SIGNOR	15306821	protein	protein	0.787
P19525	P19525	UNIPROT	UNIPROT	EIF2AK2	EIF2AK2	up-regulates activity	SIGNOR	SIGNOR	16373505	protein	protein	0.2
P63279	Q9UKY1	UNIPROT	UNIPROT	UBE2I	ZHX1	up-regulates quantity by stabilization	SIGNOR	SIGNOR	23686912	protein	protein	0.453
SIGNOR-ST13	Q13043	SIGNOR	UNIPROT	Cell-Cell_contact	STK4	up-regulates	SIGNOR	SIGNOR	22683405	stimulus	protein	0.7
CHEBI:71957	SIGNOR-C156	ChEBI	SIGNOR	XL147	PI3K	down-regulates	SIGNOR	SIGNOR	Other	chemical	complex	0.8
O14757	O00311	UNIPROT	UNIPROT	CHEK1	CDC7	up-regulates	SIGNOR	SIGNOR	20068082	protein	protein	0.733
P12931	P09327	UNIPROT	UNIPROT	SRC	VIL1	up-regulates activity	SIGNOR	SIGNOR	15342783	protein	protein	0.364
Q16649	P08684	UNIPROT	UNIPROT	NFIL3	CYP3A4	down-regulates quantity by repression	SIGNOR	SIGNOR	18004209	protein	protein	0.2
O95863	P05121	UNIPROT	UNIPROT	SNAI1	SERPINE1	up-regulates quantity by expression	SIGNOR	SIGNOR	19055748	protein	protein	0.416
P46937	SIGNOR-PF120	UNIPROT	SIGNOR	YAP1	YAP/TAZ	up-regulates	SIGNOR	SIGNOR	30224758	protein	proteinfamily	0.551
Q16539	Q8TDD2	UNIPROT	UNIPROT	MAPK14	SP7	up-regulates activity	SIGNOR	SIGNOR	20682789	protein	protein	0.408
P06493	P23443	UNIPROT	UNIPROT	CDK1	RPS6KB1	up-regulates	SIGNOR	SIGNOR	11705993	protein	protein	0.385
P42224	P33076	UNIPROT	UNIPROT	STAT1	CIITA	up-regulates quantity	SIGNOR	SIGNOR	9551976	protein	protein	0.537
Q13627	O43524	UNIPROT	UNIPROT	DYRK1A	FOXO3	down-regulates	SIGNOR	SIGNOR	19188143	protein	protein	0.359
Q02156	Q9BZL6	UNIPROT	UNIPROT	PRKCE	PRKD2	up-regulates	SIGNOR	SIGNOR	12058027	protein	protein	0.2
P61457	P35680	UNIPROT	UNIPROT	PCBD1	HNF1B	up-regulates activity	SIGNOR	SIGNOR	24204001	protein	protein	0.582
P38435	P00740	UNIPROT	UNIPROT	GGCX	F9	up-regulates activity	SIGNOR	SIGNOR	11133752	protein	protein	0.682
Q16539	P37231	UNIPROT	UNIPROT	MAPK14	PPARG	up-regulates	SIGNOR	SIGNOR	12589053	protein	protein	0.395
O14757	P27816	UNIPROT	UNIPROT	CHEK1	MAP4	down-regulates quantity by destabilization	SIGNOR	SIGNOR	36991467	protein	protein	0.2
P13051	SIGNOR-PH57	UNIPROT	SIGNOR	UNG	DNA_repair	up-regulates	SIGNOR	SIGNOR	27875297	protein	phenotype	0.7
Q9Y4K4	Q13233	UNIPROT	UNIPROT	MAP4K5	MAP3K1	up-regulates	SIGNOR	SIGNOR	9405407	protein	protein	0.453
SIGNOR-PF26	P50549	SIGNOR	UNIPROT	RPS6K	ETV1	up-regulates activity	SIGNOR	SIGNOR	12213813	proteinfamily	protein	0.2
Q9Y6Y8	CHEBI:16337	UNIPROT	ChEBI	SEC23IP	phosphatidic acid	down-regulates quantity	SIGNOR	SIGNOR	22922100	protein	smallmolecule	0.8
P28482	P49790	UNIPROT	UNIPROT	MAPK1	NUP153	unknown	SIGNOR	SIGNOR	19767751	protein	protein	0.389
P40763	P24385	UNIPROT	UNIPROT	STAT3	CCND1	up-regulates quantity by expression	SIGNOR	SIGNOR	16510571	protein	protein	0.787
P31749	Q6PKG0	UNIPROT	UNIPROT	AKT1	LARP1	down-regulates activity	SIGNOR	SIGNOR	28650797	protein	protein	0.288
Q14980	Q9BQE3	UNIPROT	UNIPROT	NUMA1	TUBA1C	up-regulates	SIGNOR	SIGNOR	11956313	protein	protein	0.258
SIGNOR-PF14	P15336	SIGNOR	UNIPROT	ROBO	ATF2	up-regulates	SIGNOR	SIGNOR	15916964	proteinfamily	protein	0.2
CHEBI:91634	P35372	ChEBI	UNIPROT	2-[[2-[[2-[[2-[[2-amino-3-(4-hydroxyphenyl)-1-oxopropyl]amino]-1-oxoethyl]amino]-1-oxoethyl]amino]-1-oxo-3-phenylpropyl]amino]-4-methylpentanoic acid	OPRM1	up-regulates activity	SIGNOR	SIGNOR	9686407	chemical	protein	0.8
P12931	Q14258	UNIPROT	UNIPROT	SRC	TRIM25	up-regulates activity	SIGNOR	SIGNOR	30100205	protein	protein	0.271
