subject_id	object_id	subject_id_prefix	object_id_prefix	subject_name	object_name	predicate	Primary_Knowledge_Source	Knowledge_Source	publications	subject_category	object_category	score
SIGNOR-C104	P13762	SIGNOR	UNIPROT	RFX complex	HLA-DRB4	up-regulates quantity by expression	SIGNOR	SIGNOR	11258423	complex	protein	0.2
P22102	CHEBI:147286	UNIPROT	ChEBI	GART	N(2)-formyl-N(1)-(5-phospho-beta-D-ribosyl)glycinamide(2-)	up-regulates quantity	SIGNOR	SIGNOR	33179964	protein	smallmolecule	0.8
P10644	P22694	UNIPROT	UNIPROT	PRKAR1A	PRKACB	down-regulates activity	SIGNOR	SIGNOR	26687711	protein	protein	0.863
SIGNOR-C243	P13500	SIGNOR	UNIPROT	IFNAR	CCL2	up-regulates quantity by expression	SIGNOR	SIGNOR	32283152	complex	protein	0.315
SIGNOR-PF1	Q9UBS5	SIGNOR	UNIPROT	ERK1/2	GABBR1	down-regulates quantity by destabilization	SIGNOR	SIGNOR	37686242	proteinfamily	protein	0.2
P06493	O00399	UNIPROT	UNIPROT	CDK1	DCTN6	up-regulates activity	SIGNOR	SIGNOR	23455152	protein	protein	0.308
P30542	P09471	UNIPROT	UNIPROT	ADORA1	GNAO1	up-regulates activity	SIGNOR	SIGNOR	31160049	protein	protein	0.391
P63215	P19174	UNIPROT	UNIPROT	GNG3	PLCG1	up-regulates	SIGNOR	SIGNOR	23074268	protein	protein	0.2
P49683	P09471	UNIPROT	UNIPROT	PRLHR	GNAO1	up-regulates activity	SIGNOR	SIGNOR	31160049	protein	protein	0.306
P01584	P49895	UNIPROT	UNIPROT	IL1B	DIO1	down-regulates quantity by repression	SIGNOR	SIGNOR	9397972	protein	protein	0.2
P78337	P01229	UNIPROT	UNIPROT	PITX1	LHB	up-regulates quantity by expression	SIGNOR	SIGNOR	19106114	protein	protein	0.349
SIGNOR-C405	SIGNOR-C391	SIGNOR	SIGNOR	Core mediator complex	RNA Polymerase II	up-regulates activity	SIGNOR	SIGNOR	25693131	complex	complex	0.335
P15391	SIGNOR-C156	UNIPROT	SIGNOR	CD19	PI3K	up-regulates activity	SIGNOR	SIGNOR	25673924	protein	complex	0.521
O75044	P60953	UNIPROT	UNIPROT	SRGAP2	CDC42	down-regulates activity	SIGNOR	SIGNOR	32203420	protein	protein	0.603
P25098	P21462	UNIPROT	UNIPROT	GRK2	FPR1	down-regulates activity	SIGNOR	SIGNOR	7836371	protein	protein	0.2
Q9Y5H9	Q9Y5H1	UNIPROT	UNIPROT	PCDHA2	PCDHGA2	up-regulates activity	SIGNOR	SIGNOR	16697637	protein	protein	0.2
O60346	SIGNOR-PF24	UNIPROT	SIGNOR	PHLPP1	AKT	down-regulates activity	SIGNOR	SIGNOR	19261608	protein	proteinfamily	0.759
Q99835	P21145	UNIPROT	UNIPROT	SMO	MAL	up-regulates quantity	SIGNOR	SIGNOR	35082605	protein	protein	0.2
Q13127	O60741	UNIPROT	UNIPROT	REST	HCN1	down-regulates quantity by repression	SIGNOR	SIGNOR	21905079	protein	protein	0.2
CHEBI:45716	Q9UBN7	ChEBI	UNIPROT	vorinostat	HDAC6	down-regulates activity	SIGNOR	SIGNOR	20139990	chemical	protein	0.8
P12931	Q9BXK1	UNIPROT	UNIPROT	SRC	KLF16	up-regulates activity	SIGNOR	SIGNOR	22203677	protein	protein	0.245
P01375	P37088	UNIPROT	UNIPROT	TNF	SCNN1A	down-regulates quantity by repression	SIGNOR	SIGNOR	16877633	protein	protein	0.305
CHEBI:71204	P35367	ChEBI	UNIPROT	bepotastine	HRH1	down-regulates activity	SIGNOR	SIGNOR	18446005	chemical	protein	0.8
P49336	Q15797	UNIPROT	UNIPROT	CDK8	SMAD1	down-regulates	SIGNOR	SIGNOR	19914161	protein	protein	0.383
SIGNOR-C343	P24928	SIGNOR	UNIPROT	TFIID	POLR2A	up-regulates activity	SIGNOR	SIGNOR	27096372	complex	protein	0.543
P68400	P12259	UNIPROT	UNIPROT	CSNK2A1	F5	down-regulates activity	SIGNOR	SIGNOR	9525959	protein	protein	0.308
P08581	SIGNOR-PH107	UNIPROT	SIGNOR	MET	Metastasis	up-regulates	SIGNOR	SIGNOR	22035268	protein	phenotype	0.7
Q9Y5H9	Q9UN70	UNIPROT	UNIPROT	PCDHA2	PCDHGC3	up-regulates activity	SIGNOR	SIGNOR	16697637	protein	protein	0.2
Q8TEK3	Q16695	UNIPROT	UNIPROT	DOT1L	H3-4	unknown	SIGNOR	SIGNOR	12123582	protein	protein	0.2
P05771	Q16236	UNIPROT	UNIPROT	PRKCB	NFE2L2	up-regulates	SIGNOR	SIGNOR	12198130	protein	protein	0.417
P12931	P60953	UNIPROT	UNIPROT	SRC	CDC42	up-regulates	SIGNOR	SIGNOR	14506284	protein	protein	0.694
O14519	P24941	UNIPROT	UNIPROT	CDK2AP1	CDK2	down-regulates activity	SIGNOR	SIGNOR	22427660	protein	protein	0.442
P18847	Q99988	UNIPROT	UNIPROT	ATF3	GDF15	up-regulates quantity by expression	SIGNOR	SIGNOR	15670751	protein	protein	0.426
SIGNOR-PF48	SIGNOR-C166	SIGNOR	SIGNOR	Kindlin	A9/b1 integrin	up-regulates activity	SIGNOR	SIGNOR	29544897	proteinfamily	complex	0.399
P04150	P49715	UNIPROT	UNIPROT	NR3C1	CEBPA	up-regulates quantity by expression	SIGNOR	SIGNOR	11279134	protein	protein	0.456
Q9UKA9	P31943	UNIPROT	UNIPROT	PTBP2	HNRNPH1	up-regulates activity	SIGNOR	SIGNOR	11003644	protein	protein	0.388
P28336	P09471	UNIPROT	UNIPROT	NMBR	GNAO1	up-regulates activity	SIGNOR	SIGNOR	31160049	protein	protein	0.268
P43405	Q8IWV1	UNIPROT	UNIPROT	SYK	LAX1	up-regulates activity	SIGNOR	SIGNOR	12359715	protein	protein	0.378
SIGNOR-PF17	Q9BZL6	SIGNOR	UNIPROT	PKA	PRKD2	up-regulates activity	SIGNOR	SIGNOR	12058027	proteinfamily	protein	0.2
Q05940	CHEBI:18243	UNIPROT	ChEBI	SLC18A2	dopamine	up-regulates quantity	SIGNOR	SIGNOR	30465801	protein	smallmolecule	0.8
Q9H1J7	Q9NPG1	UNIPROT	UNIPROT	WNT5B	FZD3	up-regulates	SIGNOR	SIGNOR	16273260	protein	protein	0.635
P59594	Q9H2X3	UNIPROT	UNIPROT	S	CLEC4M	up-regulates activity	SIGNOR	SIGNOR	15479853	protein	protein	0.2
Q9GZU7	Q15672	UNIPROT	UNIPROT	CTDSP1	TWIST1	down-regulates activity	SIGNOR	SIGNOR	26975371	protein	protein	0.2
P41221	Q01973	UNIPROT	UNIPROT	WNT5A	ROR1	up-regulates	SIGNOR	SIGNOR	22343533	protein	protein	0.746
Q8TAQ2	SIGNOR-C482	UNIPROT	SIGNOR	SMARCC2	Muscle cell-specific SWI/SNF ARID1B variant	form complex	SIGNOR	SIGNOR	11073988	protein	complex	0.835
P12544	Q01105	UNIPROT	UNIPROT	GZMA	SET	down-regulates	SIGNOR	SIGNOR	11555662	protein	protein	0.71
P50281	SIGNOR-PH26	UNIPROT	SIGNOR	MMP14	Adipogenesis	up-regulates	SIGNOR	SIGNOR	28709001	protein	phenotype	0.7
Q96ED9	Q7Z7A1	UNIPROT	UNIPROT	HOOK2	CNTRL	up-regulates	SIGNOR	SIGNOR	17140400	protein	protein	0.353
O00623	P51668	UNIPROT	UNIPROT	PEX12	UBE2D1	up-regulates activity	SIGNOR	SIGNOR	19687296	protein	protein	0.625
SIGNOR-C83	P13051	SIGNOR	UNIPROT	CyclinA2/CDK2	UNG	up-regulates activity	SIGNOR	SIGNOR	18079698	complex	protein	0.288
O43623	P78504	UNIPROT	UNIPROT	SNAI2	JAG1	up-regulates quantity by expression	SIGNOR	SIGNOR	20509143	protein	protein	0.417
Q00534	P46527	UNIPROT	UNIPROT	CDK6	CDKN1B	down-regulates	SIGNOR	SIGNOR	16160006	protein	protein	0.855
O15392	SIGNOR-C554	UNIPROT	SIGNOR	BIRC5	CPC	form complex	SIGNOR	SIGNOR	23175282	protein	complex	0.801
P16298	Q13469	UNIPROT	UNIPROT	PPP3CB	NFATC2	up-regulates activity	SIGNOR	SIGNOR	11030334	protein	protein	0.614
Q96A26	P21796	UNIPROT	UNIPROT	FAM162A	VDAC1	up-regulates activity	SIGNOR	SIGNOR	15082785	protein	protein	0.2
P60484	P12931	UNIPROT	UNIPROT	PTEN	SRC	down-regulates activity	SIGNOR	SIGNOR	22482061	protein	protein	0.536
P49593	O43318	UNIPROT	UNIPROT	PPM1F	MAP3K7	down-regulates activity	SIGNOR	SIGNOR	28906490	protein	protein	0.395
Q5VWK5	P29597	UNIPROT	UNIPROT	IL23R	TYK2	up-regulates	SIGNOR	SIGNOR	12023369	protein	protein	0.58
Q05923	P28482	UNIPROT	UNIPROT	DUSP2	MAPK1	down-regulates	SIGNOR	SIGNOR	8626452	protein	protein	0.744
P49841	O75952	UNIPROT	UNIPROT	GSK3B	CABYR	unknown	SIGNOR	SIGNOR	15752768	protein	protein	0.401
Q6U841	CHEBI:17996	UNIPROT	ChEBI	SLC4A10	chloride	down-regulates quantity	SIGNOR	SIGNOR	23056253	protein	smallmolecule	0.8
Q96AX9	Q13546	UNIPROT	UNIPROT	MIB2	RIPK1	down-regulates activity	SIGNOR	SIGNOR	29642005	protein	protein	0.295
P49841	P12036	UNIPROT	UNIPROT	GSK3B	NEFH	down-regulates	SIGNOR	SIGNOR	12130654	protein	protein	0.302
Q01094	Q8NEM0	UNIPROT	UNIPROT	E2F1	MCPH1	up-regulates quantity by expression	SIGNOR	SIGNOR	22136275	protein	protein	0.348
SIGNOR-C29	Q15797	SIGNOR	UNIPROT	BMPR1A/1B/2	SMAD1	up-regulates activity	SIGNOR	SIGNOR	9136927	complex	protein	0.664
P48357	Q06124	UNIPROT	UNIPROT	LEPR	PTPN11	up-regulates activity	SIGNOR	SIGNOR	11085989	protein	protein	0.472
Q13131	O15503	UNIPROT	UNIPROT	PRKAA1	INSIG1	up-regulates quantity by stabilization	SIGNOR	SIGNOR	30733434	protein	protein	0.256
P17612	O43164	UNIPROT	UNIPROT	PRKACA	PJA2	up-regulates activity	SIGNOR	SIGNOR	21423175	protein	protein	0.2
P17252	O75689	UNIPROT	UNIPROT	PRKCA	ADAP1	unknown	SIGNOR	SIGNOR	12893243	protein	protein	0.318
CHEBI:91336	Q9UQB9	ChEBI	UNIPROT	N-[4-[[4-(4-methyl-1-piperazinyl)-6-[(5-methyl-1H-pyrazol-3-yl)amino]-2-pyrimidinyl]thio]phenyl]cyclopropanecarboxamide	AURKC	down-regulates	SIGNOR	SIGNOR	Other	chemical	protein	0.8
SIGNOR-C389	CHEBI:29175	SIGNOR	ChEBI	RNA Polymerase III	tRNA(Glu)	up-regulates quantity	SIGNOR	SIGNOR	27911719	complex	smallmolecule	0.8
Q96GD4	Q9UPY8	UNIPROT	UNIPROT	AURKB	MAPRE3	up-regulates	SIGNOR	SIGNOR	23712260	protein	protein	0.473
P18825	P09471	UNIPROT	UNIPROT	ADRA2C	GNAO1	up-regulates activity	SIGNOR	SIGNOR	31160049	protein	protein	0.396
Q9H492	Q13501	UNIPROT	UNIPROT	MAP1LC3A	SQSTM1	up-regulates	SIGNOR	SIGNOR	19250911	protein	protein	0.791
CHEBI:85164	P09619	ChEBI	UNIPROT	nintedanib	PDGFRB	down-regulates activity	SIGNOR	SIGNOR	18559524	chemical	protein	0.8
Q4VCS5	Q9GZV5	UNIPROT	UNIPROT	AMOT	WWTR1	down-regulates	SIGNOR	SIGNOR	23431053	protein	protein	0.677
P67775	P28482	UNIPROT	UNIPROT	PPP2CA	MAPK1	down-regulates activity	SIGNOR	SIGNOR	7780739	protein	protein	0.62
O14733	O15264	UNIPROT	UNIPROT	MAP2K7	MAPK13	up-regulates activity	SIGNOR	SIGNOR	10066767	protein	protein	0.435
SIGNOR-PF4	Q13485	SIGNOR	UNIPROT	Gbeta	SMAD4	up-regulates	SIGNOR	SIGNOR	12801888	proteinfamily	protein	0.2
SIGNOR-C497	Q86YT6	SIGNOR	UNIPROT	Ub:E2	MIB1	up-regulates activity	SIGNOR	SIGNOR	34199813	complex	protein	0.2
P10588	P22888	UNIPROT	UNIPROT	NR2F6	LHCGR	down-regulates quantity by repression	SIGNOR	SIGNOR	10644740	protein	protein	0.302
Q14164	P25963	UNIPROT	UNIPROT	IKBKE	NFKBIA	down-regulates quantity by destabilization	SIGNOR	SIGNOR	11815618	protein	protein	0.485
P68400	P11836	UNIPROT	UNIPROT	CSNK2A1	MS4A1	unknown	SIGNOR	SIGNOR	7678037	protein	protein	0.308
Q00535	Q12879	UNIPROT	UNIPROT	CDK5	GRIN2A	up-regulates activity	SIGNOR	SIGNOR	11675505	protein	protein	0.525
SIGNOR-PF120	Q969T9	SIGNOR	UNIPROT	YAP/TAZ	WBP2	up-regulates activity	SIGNOR	SIGNOR	25287865	proteinfamily	protein	0.2
Q969J5	Q9GZX6	UNIPROT	UNIPROT	IL22RA2	IL22	up-regulates	SIGNOR	SIGNOR	11390453	protein	protein	0.745
P17252	P17302	UNIPROT	UNIPROT	PRKCA	GJA1	down-regulates	SIGNOR	SIGNOR	14702389	protein	protein	0.536
Q02930	P42224	UNIPROT	UNIPROT	CREB5	STAT1	down-regulates quantity by repression	SIGNOR	SIGNOR	21132541	protein	protein	0.2
Q15831	Q96EB6	UNIPROT	UNIPROT	STK11	SIRT1	up-regulates activity	SIGNOR	SIGNOR	34216621	protein	protein	0.573
Q9UHI6	SIGNOR-C158	UNIPROT	SIGNOR	DDX20	SMN complex	form complex	SIGNOR	SIGNOR	12065586	protein	complex	0.858
Q01959	CHEBI:18243	UNIPROT	ChEBI	SLC6A3	dopamine	up-regulates quantity	SIGNOR	SIGNOR	30465801	protein	smallmolecule	0.8
P49591	CHEBI:2651	UNIPROT	ChEBI	SARS1	alpha-aminoacyl-tRNA	up-regulates quantity	SIGNOR	SIGNOR	14660560	protein	smallmolecule	0.8
Q9H9S0	SIGNOR-PH43	UNIPROT	SIGNOR	NANOG	Pluripotency	up-regulates	SIGNOR	SIGNOR	16153702	protein	phenotype	0.7
Q86Y13	Q8IUE6	UNIPROT	UNIPROT	DZIP3	H2AC21	up-regulates activity	SIGNOR	SIGNOR	18206970	protein	protein	0.2
Q8N752	P10070	UNIPROT	UNIPROT	CSNK1A1L	GLI2	up-regulates	SIGNOR	SIGNOR	16481469	protein	protein	0.334
SIGNOR-C529	O15350	SIGNOR	UNIPROT	Cullin 1-RBX1-Skp1	TP73	down-regulates quantity by destabilization	SIGNOR	SIGNOR	19581926	complex	protein	0.284
Q9NVS2	SIGNOR-C285	UNIPROT	SIGNOR	MRPS18A	39S mitochondrial large ribosomal subunit	form complex	SIGNOR	SIGNOR	25838379	protein	complex	0.721
SIGNOR-PF53	Q9HBA0	SIGNOR	UNIPROT	PKC	TRPV4	up-regulates activity	SIGNOR	SIGNOR	19661060	proteinfamily	protein	0.2
P17706	P06241	UNIPROT	UNIPROT	PTPN2	FYN	down-regulates	SIGNOR	SIGNOR	22080863	protein	protein	0.325
SIGNOR-C234	P08237	SIGNOR	UNIPROT	CyclinD3/CDK6	PFKM	down-regulates activity	SIGNOR	SIGNOR	28607489	complex	protein	0.2
Q9Y490	SIGNOR-C187	UNIPROT	SIGNOR	TLN1	A4/b7 integrin	up-regulates activity	SIGNOR	SIGNOR	19118207	protein	complex	0.551
O00566	Q9NQZ2	UNIPROT	UNIPROT	MPHOSPH10	UTP3	up-regulates activity	SIGNOR	SIGNOR	28813493	protein	protein	0.934
SIGNOR-C451	Q9P1W9	SIGNOR	UNIPROT	SOX17/POU5F1	PIM2	up-regulates quantity by expression	SIGNOR	SIGNOR	31583686	complex	protein	0.2
Q9Y6B2	Q09472	UNIPROT	UNIPROT	EID1	EP300	down-regulates activity	SIGNOR	SIGNOR	11073990	protein	protein	0.422
P45983	O43521	UNIPROT	UNIPROT	MAPK8	BCL2L11	down-regulates quantity by destabilization	SIGNOR	SIGNOR	15486195	protein	protein	0.758
Q86Y07	Q96EV8	UNIPROT	UNIPROT	VRK2	DTNBP1	down-regulates quantity by destabilization	SIGNOR	SIGNOR	30062698	protein	protein	0.2
O14901	Q96ST3	UNIPROT	UNIPROT	KLF11	SIN3A	up-regulates activity	SIGNOR	SIGNOR	11438660	protein	protein	0.488
O60729	Q16659	UNIPROT	UNIPROT	CDC14B	MAPK6	down-regulates quantity by destabilization	SIGNOR	SIGNOR	20236090	protein	protein	0.57
SIGNOR-C37	P24928	SIGNOR	UNIPROT	CyclinK/CDK12	POLR2A	up-regulates activity	SIGNOR	SIGNOR	32917631	complex	protein	0.754
P01106	SIGNOR-PF74	UNIPROT	SIGNOR	MYC	Enolase	up-regulates quantity	SIGNOR	SIGNOR	10823814	protein	proteinfamily	0.411
P17252	P62491	UNIPROT	UNIPROT	PRKCA	RAB11A	unknown	SIGNOR	SIGNOR	22188018	protein	protein	0.2
O00255	P46527	UNIPROT	UNIPROT	MEN1	CDKN1B	up-regulates quantity by expression	SIGNOR	SIGNOR	15640349	protein	protein	0.404
Q00535	P31146	UNIPROT	UNIPROT	CDK5	CORO1A	up-regulates activity	SIGNOR	SIGNOR	26823173	protein	protein	0.288
O00505	P46531	UNIPROT	UNIPROT	KPNA3	NOTCH1	up-regulates	SIGNOR	SIGNOR	20454918	protein	protein	0.325
Q16864	SIGNOR-C560	UNIPROT	SIGNOR	ATP6V1F	V-ATPase	form complex	SIGNOR	SIGNOR	33065002	protein	complex	0.768
Q9UQM7	Q96PH1	UNIPROT	UNIPROT	CAMK2A	NOX5	up-regulates activity	SIGNOR	SIGNOR	21642394	protein	protein	0.2
Q01860	Q9H9S0	UNIPROT	UNIPROT	POU5F1	NANOG	up-regulates quantity by expression	SIGNOR	SIGNOR	17068183	protein	protein	0.767
SIGNOR-C98	Q04721	SIGNOR	UNIPROT	gamma-secretase	NOTCH2	up-regulates activity	SIGNOR	SIGNOR	25610395	complex	protein	0.588
SIGNOR-PF1	P56192	SIGNOR	UNIPROT	ERK1/2	MARS1	up-regulates activity	SIGNOR	SIGNOR	25097229	proteinfamily	protein	0.2
Q13547	P49715	UNIPROT	UNIPROT	HDAC1	CEBPA	down-regulates	SIGNOR	SIGNOR	16431920	protein	protein	0.436
Q08209	Q13469	UNIPROT	UNIPROT	PPP3CA	NFATC2	up-regulates activity	SIGNOR	SIGNOR	11030334	protein	protein	0.628
P19525	Q15172	UNIPROT	UNIPROT	EIF2AK2	PPP2R5A	up-regulates	SIGNOR	SIGNOR	18957415	protein	protein	0.328
P11474	Q9H0X6	UNIPROT	UNIPROT	ESRRA	RNF208	up-regulates quantity by expression	SIGNOR	SIGNOR	31862882	protein	protein	0.2
P48730	P51532	UNIPROT	UNIPROT	CSNK1D	SMARCA4	down-regulates quantity by destabilization	SIGNOR	SIGNOR	30177679	protein	protein	0.2
P05771	P56537	UNIPROT	UNIPROT	PRKCB	EIF6	down-regulates activity	SIGNOR	SIGNOR	14654845	protein	protein	0.308
Q13882	SIGNOR-PF24	UNIPROT	SIGNOR	PTK6	AKT	up-regulates	SIGNOR	SIGNOR	15994200	protein	proteinfamily	0.474
P78414	Q96PL5	UNIPROT	UNIPROT	IRX1	ERMAP	up-regulates quantity by expression	SIGNOR	SIGNOR	20440264	protein	protein	0.2
P22455	P42224	UNIPROT	UNIPROT	FGFR4	STAT1	up-regulates activity	SIGNOR	SIGNOR	10918587	protein	protein	0.349
Q9Y3Q0	CHEBI:29985	UNIPROT	ChEBI	NAALAD2	L-glutamate(1-)	up-regulates quantity	SIGNOR	SIGNOR	10085079	protein	smallmolecule	0.8
P18433	Q14721	UNIPROT	UNIPROT	PTPRA	KCNB1	down-regulates	SIGNOR	SIGNOR	16870705	protein	protein	0.2
Q9BYW2	SIGNOR-C548	UNIPROT	SIGNOR	SETD2	Iws1:Spt6:CTD complex	form complex	SIGNOR	SIGNOR	19141475	protein	complex	0.562
O15169	SIGNOR-C110	UNIPROT	SIGNOR	AXIN1	GSK3B/Axin/APC	form complex	SIGNOR	SIGNOR	9734785	protein	complex	0.932
P29400	SIGNOR-PH8	UNIPROT	SIGNOR	COL4A5	ECM_synthesis	up-regulates	SIGNOR	SIGNOR	12778132	protein	phenotype	0.7
CHEBI:15525	CHEBI:50583	ChEBI	ChEBI	palmitoyl-CoA	3-hydroxyoctadecanoyl-CoA	up-regulates quantity	SIGNOR	SIGNOR	31616255	smallmolecule	smallmolecule	0.8
P27361	O00213	UNIPROT	UNIPROT	MAPK3	APBB1	unknown	SIGNOR	SIGNOR	14697653	protein	protein	0.267
P53350	Q99661	UNIPROT	UNIPROT	PLK1	KIF2C	up-regulates activity	SIGNOR	SIGNOR	26206521	protein	protein	0.811
Q53ET0	P35575	UNIPROT	UNIPROT	CRTC2	G6PC1	up-regulates quantity	SIGNOR	SIGNOR	26652733	protein	protein	0.2
P24666	Q05397	UNIPROT	UNIPROT	ACP1	PTK2	down-regulates activity	SIGNOR	SIGNOR	12815062	protein	protein	0.276
P28482	Q15418	UNIPROT	UNIPROT	MAPK1	RPS6KA1	up-regulates activity	SIGNOR	SIGNOR	9430688	protein	protein	0.76
SIGNOR-C497	Q86UW9	SIGNOR	UNIPROT	Ub:E2	DTX2	up-regulates activity	SIGNOR	SIGNOR	34199813	complex	protein	0.2
Q13554	Q9UBS5	UNIPROT	UNIPROT	CAMK2B	GABBR1	down-regulates quantity by destabilization	SIGNOR	SIGNOR	37686242	protein	protein	0.2
SIGNOR-PF1	Q9UBS5	SIGNOR	UNIPROT	ERK1/2	GABBR1	down-regulates quantity by destabilization	SIGNOR	SIGNOR	37686242	proteinfamily	protein	0.2
Q9UJU2	SIGNOR-PH4	UNIPROT	SIGNOR	LEF1	Proliferation	up-regulates	SIGNOR	SIGNOR	17081971	protein	phenotype	0.7
Q14393	P30530	UNIPROT	UNIPROT	GAS6	AXL	up-regulates activity	SIGNOR	SIGNOR	35022267	protein	protein	0.905
P23759	SIGNOR-C90	UNIPROT	SIGNOR	PAX7	PAX7/MLL1 complex	form complex	SIGNOR	SIGNOR	22863532	protein	complex	0.2
P14635	SIGNOR-C17	UNIPROT	SIGNOR	CCNB1	CyclinB/CDK1	form complex	SIGNOR	SIGNOR	25603287	protein	complex	1.0
Q9H4A3	P55011	UNIPROT	UNIPROT	WNK1	SLC12A2	up-regulates activity	SIGNOR	SIGNOR	36318922	protein	protein	0.491
O14920	Q13148	UNIPROT	UNIPROT	IKBKB	TARDBP	down-regulates quantity by destabilization	SIGNOR	SIGNOR	38197897	protein	protein	0.2
Q9NY61	P07288	UNIPROT	UNIPROT	AATF	KLK3	up-regulates quantity by expression	SIGNOR	SIGNOR	23146908	protein	protein	0.2
P23443	P78362	UNIPROT	UNIPROT	RPS6KB1	SRPK2	up-regulates activity	SIGNOR	SIGNOR	29153836	protein	protein	0.355
SIGNOR-PF1	P51170	SIGNOR	UNIPROT	ERK1/2	SCNN1G	down-regulates quantity by destabilization	SIGNOR	SIGNOR	11805112	proteinfamily	protein	0.2
SIGNOR-PF15	SIGNOR-PH2	SIGNOR	SIGNOR	JNK	Apoptosis	up-regulates	SIGNOR	SIGNOR	18931691	proteinfamily	phenotype	0.7
P53355	P19105	UNIPROT	UNIPROT	DAPK1	MYL12A	up-regulates activity	SIGNOR	SIGNOR	11485996	protein	protein	0.275
Q86XF0	CHEBI:57451	UNIPROT	ChEBI	DHFR2	dihydrofolate(2-)	down-regulates quantity	SIGNOR	SIGNOR	21876184	protein	smallmolecule	0.8
P12931	Q9Y4K3	UNIPROT	UNIPROT	SRC	TRAF6	up-regulates activity	SIGNOR	SIGNOR	37977223	protein	protein	0.566
P00533	O60716	UNIPROT	UNIPROT	EGFR	CTNND1	unknown	SIGNOR	SIGNOR	14996911	protein	protein	0.64
P00519	P29350	UNIPROT	UNIPROT	ABL1	PTPN6	up-regulates activity	SIGNOR	SIGNOR	8692915	protein	protein	0.414
O15111	Q9NQC7	UNIPROT	UNIPROT	CHUK	CYLD	down-regulates activity	SIGNOR	SIGNOR	24614225	protein	protein	0.542
P59594	Q9NNX6	UNIPROT	UNIPROT	S	CD209	up-regulates activity	SIGNOR	SIGNOR	15479853	protein	protein	0.2
P53355	P19105	UNIPROT	UNIPROT	DAPK1	MYL12A	up-regulates activity	SIGNOR	SIGNOR	11485996	protein	protein	0.275
SIGNOR-C497	Q8N3P4	SIGNOR	UNIPROT	Ub:E2	VPS8	up-regulates activity	SIGNOR	SIGNOR	34199813	complex	protein	0.2
P19544	Q02962	UNIPROT	UNIPROT	WT1	PAX2	down-regulates quantity by repression	SIGNOR	SIGNOR	7720589	protein	protein	0.598
P00533	P21860	UNIPROT	UNIPROT	EGFR	ERBB3	up-regulates	SIGNOR	SIGNOR	7929151	protein	protein	0.671
P53350	O14920	UNIPROT	UNIPROT	PLK1	IKBKB	down-regulates	SIGNOR	SIGNOR	18957422	protein	protein	0.344
P35813	O14920	UNIPROT	UNIPROT	PPM1A	IKBKB	down-regulates activity	SIGNOR	SIGNOR	18930133	protein	protein	0.308
P02679	SIGNOR-PH81	UNIPROT	SIGNOR	FGG	Platelet_aggregation	up-regulates	SIGNOR	SIGNOR	16418530	protein	phenotype	0.7
P78368	O15534	UNIPROT	UNIPROT	CSNK1G2	PER1	down-regulates	SIGNOR	SIGNOR	15917222	protein	protein	0.395
Q9Y6X0	Q01105	UNIPROT	UNIPROT	SETBP1	SET	up-regulates	SIGNOR	SIGNOR	22566606	protein	protein	0.479
Q13315	Q9BW19	UNIPROT	UNIPROT	ATM	KIFC1	up-regulates quantity by stabilization	SIGNOR	SIGNOR	33397932	protein	protein	0.2
P07948	P02730	UNIPROT	UNIPROT	LYN	SLC4A1	unknown	SIGNOR	SIGNOR	10942405	protein	protein	0.339
P00505	CHEBI:29985	UNIPROT	ChEBI	GOT2	L-glutamate(1-)	up-regulates quantity	SIGNOR	SIGNOR	31422819	protein	smallmolecule	0.8
P49841	P05067	UNIPROT	UNIPROT	GSK3B	APP	unknown	SIGNOR	SIGNOR	8764598	protein	protein	0.542
CHEBI:38322	P08173	ChEBI	UNIPROT	oxotremorine M	CHRM4	up-regulates activity	SIGNOR	SIGNOR	9224827	chemical	protein	0.8
CHEBI:30408	SIGNOR-C278	ChEBI	SIGNOR	iron-sulfur cluster	Mitochondrial respiratory chain complex II	up-regulates activity	SIGNOR	SIGNOR	26083061	smallmolecule	complex	0.8
Q969H0	Q16204	UNIPROT	UNIPROT	FBXW7	CCDC6	down-regulates	SIGNOR	SIGNOR	23108047	protein	protein	0.367
Q15208	P46937	UNIPROT	UNIPROT	STK38	YAP1	down-regulates activity	SIGNOR	SIGNOR	25601544	protein	protein	0.383
Q96AE4	P50591	UNIPROT	UNIPROT	FUBP1	TNFSF10	down-regulates quantity by repression	SIGNOR	SIGNOR	19637194	protein	protein	0.2
Q13164	Q13164	UNIPROT	UNIPROT	MAPK7	MAPK7	up-regulates activity	SIGNOR	SIGNOR	20667468	protein	protein	0.2
P27361	Q93045	UNIPROT	UNIPROT	MAPK3	STMN2	down-regulates activity	SIGNOR	SIGNOR	9525956	protein	protein	0.353
SIGNOR-C497	Q96CD2	SIGNOR	UNIPROT	Ub:E2	PPCDC	up-regulates activity	SIGNOR	SIGNOR	34199813	complex	protein	0.2
Q7L2H7	SIGNOR-C401	UNIPROT	SIGNOR	EIF3M	EIF3_complex	form complex	SIGNOR	SIGNOR	16920360	protein	complex	0.936
O15357	Q9UQF2	UNIPROT	UNIPROT	INPPL1	MAPK8IP1	up-regulates	SIGNOR	SIGNOR	18486448	protein	protein	0.2
Q14186	P24864	UNIPROT	UNIPROT	TFDP1	CCNE1	up-regulates quantity by expression	SIGNOR	SIGNOR	14618416	protein	protein	0.569
