EndPathways	QueryNode	EndNode	Path_String	relations_path	Path_Score	Path_Length	Final_Effect	Effect	n	mean	sd	zscore
GLUTAMINOLYSIS	ELK1	GLUTAMINOLYSIS	ELK1-->PRKCA--|GFPT1--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-256336;SIGNOR-249040;SIGNOR-267816;SIGNOR-268016	1.741	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.0427695115309823
GLUTAMINOLYSIS	DUSP4	GLUTAMINOLYSIS	DUSP4--|MAPK1-->PFAS--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-248718;SIGNOR-267306;SIGNOR-267310;SIGNOR-268016	1.548	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.419192069731022
GLUTAMINOLYSIS	EEF1E1	GLUTAMINOLYSIS	EEF1E1--[]MULTIAMINOACYL-TRNA_SYNTHETASE--|LEUCINE-->GLUTAMINOLYSIS	SIGNOR-270360;SIGNOR-270413;SIGNOR-268011	0.583	3	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-4.301304860731219
GLUTAMINOLYSIS	RNF38	GLUTAMINOLYSIS	RNF38--|TP53--|GMPS--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-272130;SIGNOR-267342;SIGNOR-267340;SIGNOR-268016	1.746	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.0330176317848676
GLUTAMINOLYSIS	PPP1CA	GLUTAMINOLYSIS	PPP1CA--|MAPK1-->CAD--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-103152;SIGNOR-137171;SIGNOR-267418;SIGNOR-268016	1.655	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.210501843164161
GLUTAMINOLYSIS	DUSP2	GLUTAMINOLYSIS	DUSP2--|MAPK1-->CAD--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-40915;SIGNOR-137171;SIGNOR-267418;SIGNOR-268016	1.372	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.7624582367942705
GLUTAMINOLYSIS	KAT6A	GLUTAMINOLYSIS	KAT6A-->TP53--|GMPS--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-201482;SIGNOR-267342;SIGNOR-267340;SIGNOR-268016	1.468	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.5752221456688624
GLUTAMINOLYSIS	PIK3R3	GLUTAMINOLYSIS	PIK3R3-->TP53-->GLS2--|GLUTAMINE-->GLUTAMINOLYSIS	SIGNOR-261492;SIGNOR-268041;SIGNOR-266909;SIGNOR-268009	1.631	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.257310865945513
GLUTAMINOLYSIS	PPP1R1B	GLUTAMINOLYSIS	PPP1R1B--|PPP1CA--|CAD--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-264957;SIGNOR-263741;SIGNOR-267418;SIGNOR-268016	1.548	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.419192069731022
GLUTAMINOLYSIS	CDK3	GLUTAMINOLYSIS	CDK3-->JUN-->GLS-->GLUTAMINOLYSIS	SIGNOR-183009;SIGNOR-268035;SIGNOR-259999	1.545	3	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.4250431975786912
GLUTAMINOLYSIS	SIRT7	GLUTAMINOLYSIS	SIRT7--|TP53--|GMPS--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-160539;SIGNOR-267342;SIGNOR-267340;SIGNOR-268016	1.656	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.2085514672149382
GLUTAMINOLYSIS	ATM	GLUTAMINOLYSIS	ATM-->TP53-->GLS2--|GLUTAMINE-->GLUTAMINOLYSIS	SIGNOR-167156;SIGNOR-268041;SIGNOR-266909;SIGNOR-268009	1.089	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-3.3144146304243804
GLUTAMINOLYSIS	CREBBP	GLUTAMINOLYSIS	CREBBP-->TP53--|GMPS--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-261495;SIGNOR-267342;SIGNOR-267340;SIGNOR-268016	1.2	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-3.097922900060627
GLUTAMINOLYSIS	EPRS1	GLUTAMINOLYSIS	EPRS1--[]MULTIAMINOACYL-TRNA_SYNTHETASE--|GLUTAMINE-->GLUTAMINOLYSIS	SIGNOR-270356;SIGNOR-270389;SIGNOR-268009	1.3	3	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.9028853051383265
GLUTAMINOLYSIS	DARS1	GLUTAMINOLYSIS	DARS1--[]MULTIAMINOACYL-TRNA_SYNTHETASE--|LEUCINE-->GLUTAMINOLYSIS	SIGNOR-270362;SIGNOR-270413;SIGNOR-268011	1.3	3	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.9028853051383265
GLUTAMINOLYSIS	TRIM21	GLUTAMINOLYSIS	TRIM21--|GMPS-->L-GLUTAMATE(1-)-->L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-204478;SIGNOR-267341;SIGNOR-267822;SIGNOR-268016	1.364	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.7780612443880544
GLUTAMINOLYSIS	WDR83	GLUTAMINOLYSIS	WDR83-->MAPK3-->CAD--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-124473;SIGNOR-137179;SIGNOR-267418;SIGNOR-268016	1.781	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-1.9647544735620628
GLUTAMINOLYSIS	PIN1	GLUTAMINOLYSIS	PIN1-->MYC-->PPAT--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-202134;SIGNOR-267381;SIGNOR-267187;SIGNOR-268016	1.721	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.0817770305154424
GLUTAMINOLYSIS	BRD4	GLUTAMINOLYSIS	BRD4--|MYC-->PPAT--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-262046;SIGNOR-267381;SIGNOR-267187;SIGNOR-268016	1.763	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-1.999861240648077
GLUTAMINOLYSIS	MAP2K2	GLUTAMINOLYSIS	MAP2K2-->MAPK3-->JUN-->GLS-->GLUTAMINOLYSIS	SIGNOR-258997;SIGNOR-91379;SIGNOR-268035;SIGNOR-259999	1.455	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.6005770330087614
GLUTAMINOLYSIS	5'-XANTHYLIC_ACID	GLUTAMINOLYSIS	5'-XANTHYLIC_ACID-->L-GLUTAMATE(1-)-->L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-268095;SIGNOR-267822;SIGNOR-268016	0.7	3	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-4.073110874672128
